Security Code,Issuer Name,Security Id,SYMBOL WITH BO,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500002,,ABB,ABB.BO,ABB India Limited,Active,A,2,INE117A01022,Heavy Electrical Equipment,Equity
500003,,AEGISLOG,AEGISLOG.BO,AEGIS LOGISTICS LTD.,Active,A,1,INE208C01025,Oil Marketing & Distribution,Equity
500008,,AMARAJABAT,AMARAJABAT.BO,AMARA RAJA BATTERIES LTD.,Active,A,1,INE885A01032,Auto Parts & Equipment,Equity
500009,,AMBALALSA,AMBALALSA.BO,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X,10,INE432A01017,Pharmaceuticals,Equity
500010,,HDFC,HDFC.BO,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A,2,INE001A01036,Housing Finance,Equity
500012,,ANDHRAPET,ANDHRAPET.BO,ANDHRA PETROCHEMICALS LTD.,Active,X,10,INE714B01016,Commodity Chemicals,Equity
500013,,ANSALAPI,ANSALAPI.BO,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B,5,INE436A01026,Realty,Equity
500014,,UTIQUE,UTIQUE.BO,Utique Enterprises Ltd,Active,X,10,INE096A01010,Finance (including NBFCs),Equity
500016,,ARUNAHTEL,ARUNAHTEL.BO,ARUNA HOTELS LTD.,Active,XT,10,INE957C01019,Hotels,Equity
500020,,BOMDYEING,BOMDYEING.BO,BOMBAY DYEING & MFG.CO.LTD.,Active,A,2,INE032A01023,Textiles,Equity
500023,,ASIANHOTNR,ASIANHOTNR.BO,Asian Hotels (North) Limited,Active,B,10,INE363A01022,Hotels,Equity
500027,,ATUL,ATUL.BO,ATUL LTD.,Active,A,10,INE100A01010,Specialty Chemicals,Equity
500028,,ATVPR,ATVPR.BO,ATV PROJECTS INDIA LTD.,Active,XT,10,INE447A01015,Construction & Engineering,Equity
500031,,BAJAJELEC,BAJAJELEC.BO,BAJAJ ELECTRICALS LTD.-$,Active,A,2,INE193E01025,Household Appliances,Equity
