SYMBOL,SYMBOL WITH NS,'SYMBOL WITH NS,TICKERS,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
20MICRONS,20MICRONS.NS,'20MICRONS.NS,'21STCENMGM.NS',20 Microns Limited,EQ,06-Oct-2008,5,1,INE144J01027,5
21STCENMGM,21STCENMGM.NS,'21STCENMGM.NS,'3IINFOTECH.NS',21st Century Management Services Limited,EQ,03-May-1995,10,1,INE253B01015,10
3IINFOTECH,3IINFOTECH.NS,'3IINFOTECH.NS,'3MINDIA.NS',3i Infotech Limited,EQ,22-Apr-2005,10,1,INE748C01020,10
3MINDIA,3MINDIA.NS,'3MINDIA.NS,'3PLAND.NS',3M India Limited,EQ,13-Aug-2004,10,1,INE470A01017,10
3PLAND,3PLAND.NS,'3PLAND.NS,'5PAISA.NS',3P Land Holdings Limited,EQ,19-Jul-1995,2,1,INE105C01023,2
5PAISA,5PAISA.NS,'5PAISA.NS,'63MOONS.NS',5Paisa Capital Limited,EQ,16-Nov-2017,10,1,INE618L01018,10
63MOONS,63MOONS.NS,'63MOONS.NS,'A2ZINFRA.NS',63 moons technologies limited,BE,20-Jun-2005,2,1,INE111B01023,2
A2ZINFRA,A2ZINFRA.NS,'A2ZINFRA.NS,'AAKASH.NS',A2Z Infra Engineering Limited,EQ,23-Dec-2010,10,1,INE619I01012,10
AAKASH,AAKASH.NS,'AAKASH.NS,'AARON.NS',Aakash Exploration Services Limited,EQ,29-Sep-2020,10,1,INE087Z01016,10
AARON,AARON.NS,'AARON.NS,'AARTIDRUGS.NS',Aaron Industries Limited,EQ,06-Nov-2020,10,1,INE721Z01010,10
AARTIDRUGS,AARTIDRUGS.NS,'AARTIDRUGS.NS,'AARTIIND.NS',Aarti Drugs Limited,EQ,19-Sep-2003,10,1,INE767A01016,10
AARTIIND,AARTIIND.NS,'AARTIIND.NS,'AARTISURF.NS',Aarti Industries Limited,EQ,08-Feb-1995,5,1,INE769A01020,5
AARTISURF,AARTISURF.NS,'AARTISURF.NS,'AARVEEDEN.NS',Aarti Surfactants Limited,EQ,14-Jul-2020,10,1,INE09EO01013,10
AARVEEDEN,AARVEEDEN.NS,'AARVEEDEN.NS,'AARVI.NS',Aarvee Denims & Exports Limited,BE,21-Nov-2006,10,1,INE273D01019,10
AARVI,AARVI.NS,'AARVI.NS,'AAVAS.NS',Aarvi Encon Limited,EQ,24-Jun-2020,10,1,INE754X01016,10
AAVAS,AAVAS.NS,'AAVAS.NS,'ABAN.NS',Aavas Financiers Limited,EQ,08-Oct-2018,10,1,INE216P01012,10
ABAN,ABAN.NS,'ABAN.NS,'ABB.NS',Aban Offshore Limited,EQ,29-Mar-1995,2,1,INE421A01028,2
ABB,ABB.NS,'ABB.NS,'ABBOTINDIA.NS',ABB India Limited,EQ,08-Feb-1995,2,1,INE117A01022,2
ABBOTINDIA,ABBOTINDIA.NS,'ABBOTINDIA.NS,'ABCAPITAL.NS',Abbott India Limited,EQ,08-Jan-2010,10,1,INE358A01014,10
ABCAPITAL,ABCAPITAL.NS,'ABCAPITAL.NS,'ABFRL.NS',Aditya Birla Capital Limited,EQ,01-Sep-2017,10,1,INE674K01013,10
ABFRL,ABFRL.NS,'ABFRL.NS,'ABMINTLTD.NS',Aditya Birla Fashion and Retail Limited,EQ,17-Jul-2013,10,1,INE647O01011,10
